Time,Random Uncertainty,Fuzzy Uncertainty,Cognitive Uncertainty,Time-Delay Uncertainty
0.6,0.370974990205798,0.366193882772083,0.153801430764275,0.109029696257844
0.62,0.379676794752928,0.366385278140099,0.151804900505789,0.102133026601185
0.64,0.388328415042489,0.366113686958505,0.149853147922047,0.0957047500769591
0.66,0.396951313899415,0.365388110354988,0.147947416148921,0.0897131595966753
0.68,0.405565775991997,0.364217729969943,0.146088233811328,0.0841282602267319
0.7,0.414190845148669,0.362611896943597,0.144275485836886,0.0789217720708486
0.72,0.422844274713896,0.360580135987323,0.142508478595504,0.0740671107032779
0.74,0.431542488065724,0.358132162345878,0.140785999509223,0.0695393500791753
0.76,0.440300546893116,0.355277909581003,0.139106371407858,0.0653151721180224
0.78,0.449132125285104,0.352027566222947,0.137467502000483,0.0613728064914655
0.8,0.458049488110618,0.348391619439565,0.135866928897078,0.0576919635527397
0.82,0.467063472564814,0.344380903959578,0.134301860654367,0.0542537628212405
0.84,0.476183472123453,0.340006654556642,0.132769214339649,0.0510406589802561
0.86,0.485417422481081,0.335280560454741,0.131265650110169,0.0480363669540092
0.88,0.494771789351583,0.330214820055459,0.129787603296364,0.0452257872965941
0.9,0.504251558281109,0.324822194417102,0.128331314457549,0.042594932844239
0.92,0.513860226863353,0.319116057938905,0.126892857850132,0.04013085734761
0.94,0.523599799955044,0.313110444725403,0.12546816871275,0.0378215866068039
0.96,0.533470788664243,0.30682008913214,0.124053069730796,0.0356560524728213
0.98,0.543472214023908,0.300260459029846,0.122643296995577,0.0336240299506696
1,0.55360161636627,0.293447780375875,0.121234525721513,0.0317160775363415
1.02,0.563855071477453,0.286399051754748,0.119822395929048,0.0299234808387517
1.04,0.574227214634011,0.279132047649216,0.118402538241962,0.0282381994748115
1.06,0.584711273601554,0.271665309333851,0.116970599886455,0.0266528171781405
1.08,0.59529911160849,0.26401812244814,0.115522270916526,0.0251604950268442
1.1,0.605981281194222,0.256210480507607,0.114053310627082,0.0237549276710881
1.12,0.616747089671098,0.24826303384987,0.11255957405407,0.0224303024249615
1.14,0.627584676734443,0.240197023786549,0.111037038401291,0.0211812610777173
1.16,0.638481104508492,0.232034202037918,0.109481829178077,0.0200028642755126
1.18,0.649422460032896,0.223796735859611,0.107890245782411,0.0188905583250821
1.2,0.66039396988183,0.215507099621679,0.106258786222156,0.0178401442743353
1.22,0.671380126274379,0.207187953960235,0.104584170634556,0.01684774913083
1.24,0.682364823691546,0.198862013979145,0.102863363242622,0.0159097990866871
1.26,0.693331504673866,0.190551908321184,0.101093592377788,0.015022994627163
1.28,0.704263313147383,0.182280031241204,0.0992723682021851,0.0141842874092281
1.3,0.715143253327948,0.174068390084745,0.0973974977816199,0.0133908588056864
1.32,0.725954351997718,0.16593845079135,0.0954670971917151,0.0126401000192172
1.34,0.736679821745526,0.157910984191358,0.0934796003841665,0.0119295936789498
1.36,0.747303222624979,0.150005915939094,0.0914337645963712,0.0112570968395556
1.38,0.757808619618824,0.142242182917873,0.0893286721540882,0.0106205253092154
1.4,0.768180733310569,0.134637598860366,0.0871637285909616,0.0100179392381036
1.42,0.778405081256353,0.127208731752467,0.0849386570879805,0.00944752990320024
1.44,0.788468107719911,0.119970795334483,0.0826534893172721,0.00890760762833371
1.46,0.798357299675977,0.112937556688662,0.0803085528548991,0.0083965907804613
1.48,0.808061287293851,0.106121261518242,0.077904455403474,0.00791299578443365
1.5,0.817569927471807,0.0995325782946568,0.0754420661345048,0.00745542809903164
1.52,0.82687436939058,0.0931805619924241,0.072922494519906,0.00702257409708966
1.54,0.835967101475181,0.087072637662619,0.0703470670699774,0.00661319379222219
1.56,0.844841979582788,0.0812146036331008,0.0677173024298695,0.00622611435424192
1.58,0.853494236654669,0.0756106536830839,0.0650348853072694,0.00586022435497805
1.6,0.861920474467336,0.0702634171360942,0.0623016397105398,0.00551446868603013
1.62,0.870118638479345,0.0651740154612387,0.0595195019692592,0.00518784409015735
1.64,0.878087977084689,0.0603421336776698,0.0566904939890375,0.00487939524860359
1.66,0.885828986843518,0.0557661046276334,0.0538166971610919,0.00458821136775703
1.68,0.893343345460771,0.0514430040228371,0.0509002273062236,0.00431342321016791
