Time_s,ReferenceSignal,UncompensatedResponse,CompensatedResponse,UncompensatedControl,CompensatedControl
0.935,-0.175355793026236,-0.114137928532216,-0.106551183132909,-0.0306089322470099,-0.0502538598289571
0.936,-0.207780901781872,-0.105159289194157,-0.113783706981221,-0.0513108062938575,-0.0719090471160563
0.937,-0.216147113058622,-0.0994608001688524,-0.0981921803580199,-0.0583431564448848,-0.0732365444856438
0.938,-0.153986899197105,-0.090668148069603,-0.0881984665871673,-0.031659375563751,-0.0395289462735249
0.939,-0.184759749987622,-0.091661141185253,-0.0893322806044616,-0.0465493044011848,-0.0677068874705405
0.94,-0.189868530826185,-0.0890216468116485,-0.0992367315485674,-0.0504234420072681,-0.070698280476624
0.941,-0.194258267435338,-0.102522407885777,-0.095109345568208,-0.0458679297747805,-0.0661480023908765
0.942,-0.195625660928323,-0.101763222815632,-0.0928380544235223,-0.0469312190563453,-0.0706703879204238
0.943,-0.183384163852874,-0.1028306376561,-0.0983655384814115,-0.0402767630983873,-0.0632142554711124
0.944,-0.149219918260382,-0.0884452497108048,-0.0995489310948902,-0.0303873342747885,-0.0352254735322079
0.945,-0.172684129568933,-0.0847697104619764,-0.0953909832747361,-0.0439572095534784,-0.0493712060964208
0.946,-0.161883322901842,-0.0926005742034163,-0.0938641219354594,-0.0346413743492128,-0.0456597500590269
0.947,-0.156988584793291,-0.106549028476138,-0.0811602619405787,-0.0252197781585768,-0.0444800506556639
0.948,-0.163956259490251,-0.11172457827172,-0.0858104992565657,-0.0261158406092651,-0.0571716253392828
0.949,-0.163111937262682,-0.108004188748073,-0.0959097632435675,-0.0275538742573045,-0.0524624442017058
0.95,-0.153781319542338,-0.121235068691885,-0.0756128344797974,-0.0162731254252266,-0.0395386600941692
0.951,-0.141632593190031,-0.119647010123115,-0.092797092805637,-0.0109927915334581,-0.0447238218030109
0.952,-0.140979014421631,-0.123528844858619,-0.106113892708358,-0.00872508478150635,-0.0336481411773806
0.953,-0.148433427618733,-0.119728746227053,-0.10098137514854,-0.0143523406958398,-0.0285217100807953
0.954,-0.141368805735721,-0.120292159702307,-0.0885283884190505,-0.010538323016707,-0.0273030762929148
0.955,-0.122517379821856,-0.108816495862667,-0.0914072139530051,-0.00685044197959493,-0.0233909863854622
0.956,-0.147966146052688,-0.114762422957246,-0.0974210139995275,-0.016601861547721,-0.0378354879804279
0.957,-0.132012160864593,-0.11805349222239,-0.0990315615788778,-0.00697933432110144,-0.0225705582939917
