Time_s,TrueFriction,EstimatedFriction,RelativeErrorPercent
5,0.12,0.114879489321128,4.26709223239323
5.1,0.12,0.114892684901802,4.25609591516501
5.2,0.12,0.114908268350599,4.24310970783418
5.3,0.12,0.11492505217357,4.22912318869144
5.4,0.12,0.11494074999843,4.21604166797507
5.5,0.12,0.114954918561265,4.20423453227942
5.6,0.12,0.114968326591544,4.19306117371327
5.7,0.12,0.1149806293317,4.18280889025019
5.8,0.12,0.114991426366081,4.17381136159878
5.9,0.12,0.11500098160845,4.1658486596249
6,0.12,0.115007085694698,4.16076192108524
6.1,0.12,0.115010469197916,4.15794233506959
6.2,0.12,0.115011748524168,4.15687622985979
6.3,0.12,0.115011442278521,4.15713143456605
6.4,0.12,0.115009984462816,4.15834628098686
6.5,0.12,0.115007732756307,4.16022270307734
6.6,0.12,0.115004978973244,4.16251752229639
6.7,0.12,0.115001958265356,4.16503477887002
6.8,0.12,0.114998857251123,4.16761895739761
6.9,0.12,0.114995820298896,4.17014975091992
7,0.12,0.114992953910528,4.17253840789344
7.1,0.12,0.114990332662905,4.17472278091236
7.2,0.12,0.114988003380641,4.17666384946543
7.3,0.12,0.11498599102519,4.17834081234172
7.4,0.12,0.114984304070998,4.17974660750178
7.5,0.12,0.114982936882993,4.18088593083912
7.6,0.12,0.114981873663215,4.18177194732107
7.7,0.12,0.114981092735008,4.18242272082636
7.8,0.12,0.11498056885721,4.182859285658
7.9,0.12,0.114980273319556,4.18310556703629
8,0.12,0.114980177879272,4.18318510060689
8.1,0.12,0.114980255025265,4.18312081227932
8.2,0.12,0.114980474264164,4.18293811319666
8.3,0.12,0.114980802884308,4.18266426307706
8.4,0.12,0.114981207991295,4.18232667392076
8.5,0.12,0.114981660272921,4.1819497725655
8.6,0.12,0.114982134509986,4.18155457501183
8.7,0.12,0.114982608048394,4.18115995967133
8.8,0.12,0.114983061207744,4.18078232688023
8.9,0.12,0.114983477767195,4.18043519400415
9,0.12,0.114983844325605,4.18012972866251
9.1,0.12,0.114984153820479,4.17987181626723
9.2,0.12,0.114984403981648,4.17966334862706
9.3,0.12,0.11498459606052,4.17950328290017
9.4,0.12,0.114984733791752,4.17938850687351
9.5,0.12,0.11498482255197,4.17931454002467
9.6,0.12,0.114984868690504,4.17927609124652
9.7,0.12,0.114984879004973,4.17926749585552
9.8,0.12,0.114984860338285,4.17928305142905
9.9,0.12,0.114984819276743,4.17931726938063
10,0.12,0.114984761933242,4.17936505563205
10.1,0.12,0.114984693803619,4.17942183031715
10.2,0.12,0.11498461968238,4.17948359801699
10.3,0.12,0.114984543627705,4.17954697691276
10.4,0.12,0.114984468963434,4.17960919713803
10.5,0.12,0.114984398307198,4.17966807733475
10.6,0.12,0.114984333619481,4.17972198376581
10.7,0.12,0.114984276266077,4.17976977826938
10.8,0.12,0.114984227086228,4.17981076147684
10.9,0.12,0.11498418646242,4.1798446146503
11,0.12,0.114984154391707,4.17987134024445
11.1,0.12,0.11498413055205,4.17989120662494
11.2,0.12,0.114984114363588,4.17990469701033
11.3,0.12,0.114984105051381,4.1799124571828
11.4,0.12,0.114984101708396,4.17991524300348
11.5,0.12,0.114984103355422,4.1799138704816
11.6,0.12,0.114984108991901,4.17990917341568
11.7,0.12,0.11498411763736,4.17990196886707
11.8,0.12,0.114984128366527,4.17989302789454
11.9,0.12,0.114984140337833,4.17988305180566
12,0.12,0.114984152814859,4.17987265428423
12.1,0.12,0.114984165182182,4.17986234818157
12.2,0.12,0.114984176950075,4.1798525416039
12.3,0.12,0.114984187751188,4.17984354067674
12.4,0.12,0.114984197331729,4.17983555689224
12.5,0.12,0.114984205539144,4.17982871738033
12.6,0.12,0.114984212307832,4.17982307680627
12.7,0.12,0.114984217644116,4.17981862990352
12.8,0.12,0.114984221611317,4.17981532390265
12.9,0.12,0.114984224315613,4.17981307032261
