Time_s,LightIntensity,AvgViolationRate,MaxViolationRate
109,0.0402666996315481,1.66990343959508,1.66990343959508
109.5,0.0394613656389171,1.02393671918513,1.11573943681746
110,0.0386721383261387,1.25199065536991,1.25199065536991
110.5,0.037898695559616,0.833614099757549,0.833614099757549
111,0.0371407216484237,0.735755617767692,0.735755617767692
111.5,0.0363979072154552,0.664327514207868,0.664327514207868
112,0.0356699490711461,1.11036173021878,1.11036173021878
112.5,0.0349565500897232,0.933517590716359,0.933517590716359
113,0.0342574190879287,1.03410387596497,1.03410387596497
113.5,0.0335722707061701,0.647527577827775,0.647527577827775
114,0.0329008252920467,0.830443648263341,0.830443648263341
114.5,0.0322428087862058,0.988346075861882,0.988346075861882
115,0.0315979526104817,1.44055834083888,1.44055834083888
115.5,0.030965993558272,0.97163930452678,0.97163930452678
116,0.0303466736871066,0.576384318532955,0.576384318532955
116.5,0.0297397402133645,1.12470253965475,1.12470253965475
117,0.0291449454090972,0.839030032712132,0.839030032712132
117.5,0.0285620465009152,0.526015303432037,0.526015303432037
118,0.0279908055708969,0.432795482487961,0.432795482487961
118.5,0.027430989459479,1.02007060943399,1.02007060943399
119,0.0268823696702894,1.14872297811159,1.14872297811159
119.5,0.0263447222768836,1.2184561419635,1.9653317508709
120,0.0258178278313459,0.975462042579238,0.975462042579238
